"filename", "language", "Python", "Markdown", "Log", "HTML", "Properties", "toml", "JSON", "PostCSS", "comment", "blank", "total"
"d:\项目\计算机网络课设\.cunzhi-memory\context.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\项目\计算机网络课设\.cunzhi-memory\metadata.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\项目\计算机网络课设\.cunzhi-memory\patterns.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\项目\计算机网络课设\.cunzhi-memory\preferences.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\项目\计算机网络课设\.cunzhi-memory\rules.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\项目\计算机网络课设\.env", "Properties", 0, 0, 0, 0, 38, 0, 0, 0, 11, 10, 59
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\README.md", "Markdown", 0, 118, 0, 0, 0, 0, 0, 0, 0, 34, 152
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\add_raw_data.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 17, 22, 116
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_all_packets.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 9, 15, 87
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_db.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 8, 10, 41
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_db_structure.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 9, 14, 59
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_latest_packets.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 7, 17, 96
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_session55.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 4, 8, 49
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_session_79_packets.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 10, 16, 70
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_sessions.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 3, 6, 30
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\clean_duplicate_packets.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 18, 35, 157
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_database.py", "Python", 84, 0, 0, 0, 0, 0, 0, 0, 11, 16, 111
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_duplicate_gui.py", "Python", 101, 0, 0, 0, 0, 0, 0, 0, 19, 31, 151
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_duplicate_packets.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 13, 22, 120
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_gui_startup.py", "Python", 175, 0, 0, 0, 0, 0, 0, 0, 27, 47, 249
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_packets.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 8, 13, 68
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 3, 7, 37
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session_79.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 11, 18, 100
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session_issue.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 13, 28, 149
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session_packets.py", "Python", 66, 0, 0, 0, 0, 0, 0, 0, 11, 14, 91
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_test.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 12, 15, 70
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.1新建会话\ACCEPTANCE_T1.1新建会话.md", "Markdown", 0, 431, 0, 0, 0, 0, 0, 0, 0, 89, 520
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.1新建会话\FINAL_T1.1新建会话.md", "Markdown", 0, 213, 0, 0, 0, 0, 0, 0, 0, 59, 272
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.1新建会话\TODO_T1.1新建会话.md", "Markdown", 0, 223, 0, 0, 0, 0, 0, 0, 0, 53, 276
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\ALIGNMENT_T1.2打开会话.md", "Markdown", 0, 124, 0, 0, 0, 0, 0, 0, 0, 29, 153
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\APPROVAL_T1.2打开会话.md", "Markdown", 0, 194, 0, 0, 0, 0, 0, 0, 0, 55, 249
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\DESIGN_T1.2打开会话.md", "Markdown", 0, 348, 0, 0, 0, 0, 0, 0, 0, 101, 449
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\TASK_T1.2打开会话.md", "Markdown", 0, 433, 0, 0, 0, 0, 0, 0, 0, 100, 533
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\ACCEPTANCE_T1.3保存会话.md", "Markdown", 0, 124, 0, 0, 0, 0, 0, 0, 0, 29, 153
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\ALIGNMENT_T1.3保存会话.md", "Markdown", 0, 91, 0, 0, 0, 0, 0, 0, 0, 25, 116
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\CONSENSUS_T1.3保存会话.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 0, 0, 21, 90
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\DESIGN_T1.3保存会话.md", "Markdown", 0, 205, 0, 0, 0, 0, 0, 0, 0, 58, 263
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\FINAL_T1.3保存会话.md", "Markdown", 0, 112, 0, 0, 0, 0, 0, 0, 0, 34, 146
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\TASK_T1.3保存会话.md", "Markdown", 0, 182, 0, 0, 0, 0, 0, 0, 0, 49, 231
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\TODO_T1.3保存会话.md", "Markdown", 0, 105, 0, 0, 0, 0, 0, 0, 0, 38, 143
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\ACCEPTANCE_协议统计.md", "Markdown", 0, 210, 0, 0, 0, 0, 0, 0, 0, 46, 256
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\FIX_REPORT_CSVExport.md", "Markdown", 0, 116, 0, 0, 0, 0, 0, 0, 0, 35, 151
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\FIX_REPORT_ChartDisplay.md", "Markdown", 0, 80, 0, 0, 0, 0, 0, 0, 0, 15, 95
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\单元测试修复\ACCEPTANCE_单元测试修复.md", "Markdown", 0, 55, 0, 0, 0, 0, 0, 0, 0, 19, 74
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\单元测试修复\FINAL_单元测试修复.md", "Markdown", 0, 83, 0, 0, 0, 0, 0, 0, 0, 26, 109
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\导出数据统计指标修复\FINAL_导出数据统计指标修复.md", "Markdown", 0, 121, 0, 0, 0, 0, 0, 0, 0, 37, 158
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\导出数据统计指标修复\TODO_导出数据统计指标修复.md", "Markdown", 0, 109, 0, 0, 0, 0, 0, 0, 0, 34, 143
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\ACCEPTANCE_打开会话功能.md", "Markdown", 0, 117, 0, 0, 0, 0, 0, 0, 0, 32, 149
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\FINAL_打开会话功能.md", "Markdown", 0, 109, 0, 0, 0, 0, 0, 0, 0, 33, 142
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\TODO_打开会话功能.md", "Markdown", 0, 109, 0, 0, 0, 0, 0, 0, 0, 29, 138
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\报告生成Bug修复\FINAL_报告生成Bug修复.md", "Markdown", 0, 131, 0, 0, 0, 0, 0, 0, 0, 40, 171
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\ACCEPTANCE_捕获选项功能.md", "Markdown", 0, 99, 0, 0, 0, 0, 0, 0, 0, 21, 120
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\ALIGNMENT_捕获选项功能.md", "Markdown", 0, 148, 0, 0, 0, 0, 0, 0, 0, 34, 182
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\CONSENSUS_捕获选项功能.md", "Markdown", 0, 113, 0, 0, 0, 0, 0, 0, 0, 28, 141
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\DESIGN_捕获选项功能.md", "Markdown", 0, 325, 0, 0, 0, 0, 0, 0, 0, 77, 402
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\FINAL_捕获选项功能.md", "Markdown", 0, 144, 0, 0, 0, 0, 0, 0, 0, 38, 182
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\TASK_捕获选项功能.md", "Markdown", 0, 360, 0, 0, 0, 0, 0, 0, 0, 90, 450
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\TODO_捕获选项功能.md", "Markdown", 0, 145, 0, 0, 0, 0, 0, 0, 0, 44, 189
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\ACCEPTANCE_数据包详情显示.md", "Markdown", 0, 118, 0, 0, 0, 0, 0, 0, 0, 32, 150
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\ALIGNMENT_数据包详情显示.md", "Markdown", 0, 115, 0, 0, 0, 0, 0, 0, 0, 28, 143
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\APPROVAL_数据包详情显示.md", "Markdown", 0, 227, 0, 0, 0, 0, 0, 0, 0, 84, 311
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\CONSENSUS_数据包详情显示.md", "Markdown", 0, 118, 0, 0, 0, 0, 0, 0, 0, 31, 149
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\DEBUG_数据包详情显示.md", "Markdown", 0, 141, 0, 0, 0, 0, 0, 0, 0, 40, 181
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\DESIGN_数据包详情显示.md", "Markdown", 0, 429, 0, 0, 0, 0, 0, 0, 0, 91, 520
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\FINAL_数据包详情显示.md", "Markdown", 0, 179, 0, 0, 0, 0, 0, 0, 0, 43, 222
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\TASK_数据包详情显示.md", "Markdown", 0, 378, 0, 0, 0, 0, 0, 0, 0, 97, 475
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\TODO_数据包详情显示.md", "Markdown", 0, 67, 0, 0, 0, 0, 0, 0, 0, 22, 89
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\ACCEPTANCE_生成报告.md", "Markdown", 0, 153, 0, 0, 0, 0, 0, 0, 0, 62, 215
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\APPROVAL_生成报告.md", "Markdown", 0, 153, 0, 0, 0, 0, 0, 0, 0, 60, 213
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\DESIGN_生成报告.md", "Markdown", 0, 287, 0, 0, 0, 0, 0, 0, 0, 72, 359
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\FINAL_生成报告.md", "Markdown", 0, 156, 0, 0, 0, 0, 0, 0, 0, 57, 213
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\TASK_生成报告.md", "Markdown", 0, 382, 0, 0, 0, 0, 0, 0, 0, 85, 467
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\TODO_生成报告.md", "Markdown", 0, 165, 0, 0, 0, 0, 0, 0, 0, 54, 219
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\UI_IMPROVEMENT_报告对话框.md", "Markdown", 0, 91, 0, 0, 0, 0, 0, 0, 0, 29, 120
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\pyproject.toml", "toml", 0, 0, 0, 0, 0, 82, 0, 0, 0, 10, 92
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_215350.html", "HTML", 0, 0, 0, 238, 0, 0, 0, 0, 4, 21, 263
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_220820.html", "HTML", 0, 0, 0, 232, 0, 0, 0, 0, 4, 20, 256
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_220904.html", "HTML", 0, 0, 0, 220, 0, 0, 0, 0, 4, 18, 242
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_234413.html", "HTML", 0, 0, 0, 226, 0, 0, 0, 0, 4, 19, 249
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_235953.html", "HTML", 0, 0, 0, 365, 0, 0, 0, 0, 13, 27, 405
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\__init__.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 7, 3, 22
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\__init__.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 5, 2, 15
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\arp_parser.py", "Python", 103, 0, 0, 0, 0, 0, 0, 0, 85, 30, 218
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\base_parser.py", "Python", 66, 0, 0, 0, 0, 0, 0, 0, 62, 27, 155
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\ethernet_parser.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 63, 24, 143
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\ip_parser.py", "Python", 139, 0, 0, 0, 0, 0, 0, 0, 103, 48, 290
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\packet_cache.py", "Python", 124, 0, 0, 0, 0, 0, 0, 0, 97, 37, 258
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\packet_formatter.py", "Python", 188, 0, 0, 0, 0, 0, 0, 0, 118, 62, 368
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\protocol_parser.py", "Python", 157, 0, 0, 0, 0, 0, 0, 0, 96, 49, 302
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\transport_parser.py", "Python", 149, 0, 0, 0, 0, 0, 0, 0, 115, 50, 314
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\capture\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 5, 2, 9
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\capture\packet_capture.py", "Python", 163, 0, 0, 0, 0, 0, 0, 0, 86, 46, 295
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\config\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 5, 2, 9
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\config\settings.py", "Python", 400, 0, 0, 0, 0, 0, 0, 0, 214, 82, 696
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 5, 2, 9
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\chart_manager.py", "Python", 268, 0, 0, 0, 0, 0, 0, 0, 119, 75, 462
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\__init__.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 5, 2, 15
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\bpf_validator.py", "Python", 211, 0, 0, 0, 0, 0, 0, 0, 59, 57, 327
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\capture_options_dialog.py", "Python", 438, 0, 0, 0, 0, 0, 0, 0, 121, 148, 707
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\filter_template_manager.py", "Python", 304, 0, 0, 0, 0, 0, 0, 0, 90, 63, 457
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\interface_info_provider.py", "Python", 238, 0, 0, 0, 0, 0, 0, 0, 103, 59, 400
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 6, 2, 10
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\advanced_settings_tab.py", "Python", 201, 0, 0, 0, 0, 0, 0, 0, 46, 51, 298
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\basic_settings_tab.py", "Python", 217, 0, 0, 0, 0, 0, 0, 0, 39, 62, 318
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\protocol_stats_dialog.py", "Python", 347, 0, 0, 0, 0, 0, 0, 0, 100, 101, 548
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\report_generation_dialog.py", "Python", 319, 0, 0, 0, 0, 0, 0, 0, 92, 109, 520
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\settings_dialog.py", "Python", 267, 0, 0, 0, 0, 0, 0, 0, 109, 83, 459
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\theme_settings_tab.py", "Python", 341, 0, 0, 0, 0, 0, 0, 0, 117, 99, 557
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\main_window.py", "Python", 1296, 0, 0, 0, 0, 0, 0, 0, 488, 209, 1993
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\theme_manager.py", "Python", 184, 0, 0, 0, 0, 0, 0, 0, 109, 50, 343
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\traffic_trends_dialog.py", "Python", 271, 0, 0, 0, 0, 0, 0, 0, 77, 83, 431
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\main.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 26, 21, 119
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\processing\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 5, 2, 9
